,text,sentiment
0,ugggh school is so boring i cant wait for this year to be over so stressed i shoulda stayed home today,0
1,good morning tweeties,2
2,fml i stepped on a needle ouch waaaaa drycleaners,0
3,yeah i think it just depends on what youre doing with it but at least im getting it for free ill miss my sk though,1
4,finally home after a big of travelling ahhhhhh now time to realx,2
5,cullen lol emmett wont do a dance off again,1
6,umm yeah thats probably a pretty good note to self because eeeeeewwwwwwww,2
7,does this mean youre leaving me,1
8,still trying to get better had to get mommaz lovinheaded to her house ahhhhhh i so hate this feelin,0
9,i have bad news i have to go take the dog for a walktheyre upset wme,0
10,chocolate with peanut butter one of my favorite combonations,2
11,no dayuuum was better,1
12,school then game oh joy totally not lookin forward to this day,2
13,so havent seen any videos the last few days hope everything is ok,1
14,playing with my puppy,2
15,i really like lady gagas paparazzi whatshappening,2
16,quick catch up on missed neighbours poor libby,0
17,its in the morning i think its time i went to bed so goodnight everyone,1
18,carter it says the video is private,1
19,thats not good sorry to hear that where did he park it,0
20,yup thats the thing i think is kinda acceptable and reasonable for proper lighting and fill in u can run away with tho,1
21,iï ½m really desappointed,0
22,dont worry baby ill eat sum cake for the both of us ill hit u up wen i get back bye dont eat too much at home,1
23,you people have no idea how depressing it is being at a steakhouse and not being able to eat,0
24,haha good job getting close her eyes are set somewhere else though,2
25,rofl,1
26,yes join us all we require is a cupcake donation,1
27,missin my bro,0
28,ok back to packing have been sitting in car charging phone as charger was left home as well,1
29,caww that sounds good i hope youre right,2
30,and trash repops getting it tomorrow night i suppose,1
31,is ur boyfriend better than mine hell no,0
32,its not mothers day on the west coast tyvm,2
33,just nothing perfect in life darn it,0
34,ok back to the dentist today all i want to do is bask in the sun,2
35,xd what i tried to say was it seems like the people of facebook dont agree i guess i fail cries,0
36,carls jr sounds hella good you should bring me some,2
37,glad its nice there gray skies and rainy in wisconsin,2
38,i feel almost empty inside today not a good feeling,0
39,lol very true ive been keeping an eye out for that they arent very tech savvy so ive been alright thus far,1
40,working extra hours,1
41,hi lady sorry for the delayed response appreciate the luvwill be in to this month hows everything going with you,1
42,my computer at work is not workingbooo need a new one tgif,1
43,welcome home glad you made it home safe,2
44,looking forward to your mandarin album hope that you will come singapore again,2
45,oh thats good my top are the haunted housesound one bakery inside ralphies body i forget,2
46,friday wooo and nothing to do nuggets better pull it off tonight,1
47,twnzfinest happy birthday sweetie have a great day in the best place of the word sorry chicago jeje,2
48,i dont think the neti pot is working for me maybe im doing it wrong,0
49,cant wish i was sleeping gotta be at work in less than hours wait whatre u doing up,1
50,just wanted to say positivity is doin me good change it up wont regret it forsure,2
51,month ahaha and i dunno if i can go tomorrow lmao cause i went today freakin filipino parents aha,1
52,favorite little cartoon movie in the world,2
53,sorry my friend but is paying the mortgage,0
54,lol watching big bang theory latest episode,1
55,im so done with this cold i really wanna go out tonight but i really dont feel like it,0
56,got tired of the kitchen being uninhabital so swept and mopped the floor when its dry ill do the work tops,0
57,you can find more info on we hope to launch the project this week then well really need some help to release it,1
58,lousy landlord need to focus on kids packing but cant nevermind sew sleeping bag,0
59,i couldnt come to see you in southend on the as i couldnt get the tickets ill have to come see you when you solo tour,1
60,been working all day finally relaxing i miss you,1
61,days of summer holiday left and they are going way too slow when will school get here,0
62,i keep pulling out my knitting at my desk and then putting it back not good not good tminus minutes till release,0
