,Topic,Count,Name
0,-1,3044,-1_wfh_home_from_covid19
1,0,425,0_workingfromhome_love_but_back
2,1,313,1_cat_catsoftwitter_cats_dogs
3,2,285,2_productivity_colleagues_wfh_work
4,3,262,3_lunch_breakfast_chocolate_lunchtime
5,4,240,4_fashion_pants_wearing_wear
6,5,149,5_coffee_cup_nespresso_espresso
7,6,145,6_london_kingdom_united_hounslow
8,7,134,7_zoom_call_zooms_zoommeeting
9,8,131,8_wfh_kevin_naavah_nom
10,9,128,9_quarantine_quarantinelife_quarantine2020_lucky
11,10,128,10_lockdown_lockdown2020_lockdownuk_lockdownnow
12,11,126,11_remote_remotework_remoteworking_remotely
13,12,111,12_friday_week_mondaymotivation_mondaymood
14,13,100,13_ai_data_technology_datascience
15,14,99,14_covid19_covid_wfh_covid19aus
16,15,97,15_home_working_from_workingfromhome
17,16,96,16_homeschooling_parents_education_kids
18,17,81,17_video_camera_webcam_filming
19,18,74,18_home_from_working_work
20,19,71,19_week_friday_weekend_casual
21,20,71,20_ealing_united_kingdom_coronavirus
22,21,68,21_workout_fitness_f45trainingleslieville_workoutmotivation
23,22,64,22_wifi_broadband_virginmediadown_cable
24,23,55,23_business_entrepreneur_entrepreneurship_networkmarketing
25,24,54,24_chair_express_wide_ergonomic
26,25,52,25_coronavirusoutbreak_coronavirus_covid19_covid19uk
27,26,51,26_coronavirus_home_from_working
28,27,50,27_brooklyn_nyc_newyorkcity_bronx
29,28,49,28_plants_garden_greenery_lovely
30,29,46,29_riverdale_isolation_torontophoto_leslieville
31,30,46,30_covid19_sdgs_canadas_cibc
32,31,44,31_virtualoffice_smallbiz_smallbusiness_startups
33,32,40,32_covid19_working_home_from
34,33,40,33_how_vs_pan_exactly
35,34,40,34_muswellhill_viewfrommywindow_tinybalcony_balcony
36,35,39,35_printer_3dprinting_printing_new
37,36,38,36_coronavirus_fight_itites_coronaviruspandemic
39,37,37,37_wanted_learn_hahaha_couch
38,38,37,38_weather_winter_rain_weathershotambassador
40,39,36,39_woke_up_8am_wake
41,40,36,40_new_norm_legal_card
42,41,34,41_socialdistancing_friends_phdchat_present
43,42,31,42_conference_call_calls_lose
44,43,30,43_cbsn_alwayson_news_lana
45,44,30,44_los_california_hollywood_ljinla
46,45,30,45_wellbeing_mentalhealth_health_results
47,46,29,46_quarantinelife_coronavirus_exile_adventuresinexile
48,47,29,47_networking_mrdanielmatthews_online_staysafe
49,48,28,48_neighbours_noisy_noise_barking
51,49,26,49_chicago_notworkingfromhome_rogers_wgn
50,50,26,50_hoboken_house_worried_home
52,51,24,51_londonlife_lifeinthetimeofcorona_workinthetimeofcorona_omnomnom
53,52,22,52_nhs_london_commute_paralympics
55,53,21,53_culturechamps_isocreative_onenewyork_whattowear
54,54,21,54_hair_ur_las_vegas
56,55,20,55_wine_easter_wineoclock_winelover
57,56,20,56_podcast_listen_episode_podcasts
58,57,20,57_playlist_academics_spotify_noisy
59,58,20,58_headphones_headset_headsets_ear
60,59,20,59_flowers_flower_brighten_ultimately
61,60,20,60_coronavirusaustralia_coronavirusaus_coronavirus_couch
62,61,19,61_digitaldetox_homeoffice_love_detox
63,62,19,62_bedroom_room_living_hubby
67,65,18,65_laptop_hdd_computer_nightmare
68,63,18,63_homeoffice_mess_homeisthenewoffice_repurposed
65,67,18,67_employment_pandemic_careers_jobsearch
66,64,18,64_delhincr_pollution_hai_delhipollution
64,66,18,66_heat_blanket_heated_chilly
69,68,17,68_voiceover_voice_facetime_record
70,69,17,69_sydney_parramatta_autumn_cybershot
71,70,17,70_radio_brits_homestudio_sundayfunday
72,71,17,71_listening_listen_breathe_womeninstemm
73,72,17,72_pens_paper_bondstreet_smythson
74,73,17,73_cancer_covidindia_coronavirus_choice
75,74,17,74_blackprofessionals_career_meetingminutes_board
79,77,16,77_park_walk_road_60s
80,75,16,75_fantastic_great_kaushambi_omicroninindia
77,79,16,79_croftonpark_se4_brockley_shoplocal
78,76,16,76_commute_rush_200th_nyclockdown
76,78,16,78_whencoronavirusisover_mondaythoughts_mondaymorning_weekday
81,80,15,80_jersey_upper_varonis_city
82,81,15,81_parents_father_puzzle_parenting
83,82,14,82_microsoftteams_microsoft_microsoftteamsmeeting_pub
84,83,14,83_quarentinechronicles_workingfromhomechronicles_quarentine2020_pray
85,84,14,84_phone_wfhtips_calls_endless
86,85,13,85_emails_received_email_content
87,86,13,86_fans_championsleague_spursathome_btsport
88,87,13,87_bandtee_ootd_west_queen
89,88,13,88_grey_portabledesk_officesolution_standsitdesk
90,89,13,89_beach_manly_getoutside_florida
94,92,12,92_itconsultancylondon_itsupport_smileinside_itconsultancy
95,91,12,91_background_wallpaper_wylandgalleries_wylandart
91,93,12,93_jpmorgan_goldmansachs_wallstreet_goldman
93,90,12,90_christmas_workchristmasparty_christmasparty_festival
92,94,12,94_corporate_jobs_office_career
96,95,11,95_pfizer_slack_google_room
97,96,11,96_blogging_networking_creativewriting_writing
98,97,11,97_heatwave_heatwaveuk_hotaugust_survivethisheat
99,98,11,98_excel_powerbi_beginners_book
100,99,10,99_adu_realtorlife_realtor_realestate
101,100,10,100_zoom_kidspets_private_nests
102,101,10,101_weatherproblems_sprinter_ramblings_noproblem
