,Topic,Count,Name
0,-1,648,-1_wfh_for_workingfromhome_from
1,0,507,0_covid19_coronavirus_workingfromhome_ealing
2,1,174,1_workingfromhome_but_know_for
3,2,140,2_wfh_good_not_no
4,3,97,3_ai_data_technology_datascience
5,4,83,4_home_from_working_work
6,5,78,5_lockdown_wfh_lockdownuk_lockdownnow
7,6,76,6_coffee_home_pub_got
8,7,60,7_london_kingdom_united_workingfromhome
9,8,59,8_networking_mrdanielmatthews_facebook_blogging
10,9,46,9_friday_weekend_wfh_mondaymotivation
11,10,45,10_mentalhealth_wellbeing_drawingoftheday_health
12,11,43,11_remote_remotework_remoteworking_check
13,12,43,12_dappleotto_panfur_dog_snoozing
14,13,41,13_zoom_zoommeetings_for_wfh
15,14,41,14_lunch_lunchbreak_vegan_prepare
16,15,37,15_garden_flowers_plants_lovely
17,16,33,16_muswellhill_viewfrommywindow_tinybalcony_spring
18,17,32,17_itconsultancy_itsupportlondon_relaxitscovered_itconsultancylondon
19,18,30,18_londonlife_lifeinthetimeofcorona_workinthetimeofcorona_week
20,19,28,19_fitness_fit_workout_exerciseathome
21,20,27,20_radio_playlist_music_studio
23,23,24,23_lunch_break_lunchtime_excuse
24,21,24,21_virginmediadown_broadband_virginmedia_wifi
22,22,24,22_work_wfh_back_bang
25,24,21,24_camera_video_was_call
26,25,21,25_blackprofessionals_career_meetingminutes_board
27,26,21,26_london_foreseeable_companion_city
28,27,20,27_jpmorgan_wallstreet_newyorkcity_goldman
29,28,20,28_vibes_heatwaveuk_fan_buckhurst
31,29,16,29_paper_bondstreet_smythson_desk
30,30,16,30_hounslow_kingdom_united_selfie
32,31,15,31_croftonpark_se4_shoplocal_brockley
33,32,14,32_zoom_podcast_home_googlehangouts
34,33,14,33_chair_interiordesign_chairs_officechair
35,34,13,34_easter_christmas_la_workchristmasparty
36,35,13,35_remote_remotework_jobs_corporate
37,36,11,36_coworker_neighbours_winging_belief
38,37,11,37_furniture_new_pieces_prove
39,38,10,38_london_kingdom_united_home
