,Topic,Count,Name
0,-1,356,-1_wfh_workingfromhome_for_from
1,0,254,0_wfh_for_new_has
2,1,226,1_covid19_coronavirus_quarantine_workingfromhome
3,2,89,2_workingfromhome_happy_when_just
4,3,74,3_brooklyn_nyc_wfh_weather
5,4,68,4_fashion_new_wfh_styleonafly
6,5,49,5_smallbiz_virtualoffice_smallbusiness_startups
7,6,45,6_dogs_pets_pet_coworker
9,7,42,7_home_from_working_work
8,8,42,8_coffee_homemade_favorite_breakfast
10,9,39,9_zoom_zoommeetings_call_wfh
11,10,33,10_remote_remotework_work_for
12,11,25,11_for_video_avintheam_laptop
13,12,24,12_goals_wellbeing_mentalhealth_stopsuicide
14,13,21,13_lunch_bacon_fortress_supersinghs
15,14,19,14_teachertwitter_teachfromhome_teacherlife_education
16,15,16,15_week_wfh_weeks_before
17,16,13,16_jersey_city_new_little
